record_id,hospital_id,hospital_name,week_start_date,blood_type,component_type,quantity_issued,month,trend_index
1,1,Toril District Hospital,01/01/2024,O+,PRBC,16,1,1
2,1,Toril District Hospital,08/01/2024,O+,PRBC,16,1,2
3,1,Toril District Hospital,15/01/2024,O+,PRBC,15,1,3
4,1,Toril District Hospital,22/01/2024,O+,PRBC,15,1,4
5,1,Toril District Hospital,29/01/2024,O+,PRBC,16,1,5
6,1,Toril District Hospital,05/02/2024,O+,PRBC,12,2,6
7,1,Toril District Hospital,12/02/2024,O+,PRBC,17,2,7
8,1,Toril District Hospital,19/02/2024,O+,PRBC,17,2,8
9,1,Toril District Hospital,26/02/2024,O+,PRBC,15,2,9
10,1,Toril District Hospital,04/03/2024,O+,PRBC,14,3,10
11,1,Toril District Hospital,11/03/2024,O+,PRBC,13,3,11
12,1,Toril District Hospital,18/03/2024,O+,PRBC,15,3,12
13,1,Toril District Hospital,25/03/2024,O+,PRBC,13,3,13
14,1,Toril District Hospital,01/04/2024,O+,PRBC,9,4,14
15,1,Toril District Hospital,08/04/2024,O+,PRBC,8,4,15
16,1,Toril District Hospital,15/04/2024,O+,PRBC,12,4,16
17,1,Toril District Hospital,22/04/2024,O+,PRBC,14,4,17
18,1,Toril District Hospital,29/04/2024,O+,PRBC,15,4,18
19,1,Toril District Hospital,06/05/2024,O+,PRBC,13,5,19
20,1,Toril District Hospital,13/05/2024,O+,PRBC,14,5,20
21,1,Toril District Hospital,20/05/2024,O+,PRBC,14,5,21
22,1,Toril District Hospital,27/05/2024,O+,PRBC,12,5,22
23,1,Toril District Hospital,03/06/2024,O+,PRBC,14,6,23
24,1,Toril District Hospital,10/06/2024,O+,PRBC,16,6,24
25,1,Toril District Hospital,17/06/2024,O+,PRBC,12,6,25
26,1,Toril District Hospital,24/06/2024,O+,PRBC,12,6,26
27,1,Toril District Hospital,01/07/2024,O+,PRBC,12,7,27
28,1,Toril District Hospital,08/07/2024,O+,PRBC,10,7,28
29,1,Toril District Hospital,15/07/2024,O+,PRBC,13,7,29
30,1,Toril District Hospital,22/07/2024,O+,PRBC,16,7,30
31,1,Toril District Hospital,29/07/2024,O+,PRBC,15,7,31
32,1,Toril District Hospital,05/08/2024,O+,PRBC,14,8,32
33,1,Toril District Hospital,12/08/2024,O+,PRBC,15,8,33
34,1,Toril District Hospital,19/08/2024,O+,PRBC,13,8,34
35,1,Toril District Hospital,26/08/2024,O+,PRBC,10,8,35
36,1,Toril District Hospital,02/09/2024,O+,PRBC,16,9,36
37,1,Toril District Hospital,09/09/2024,O+,PRBC,17,9,37
38,1,Toril District Hospital,16/09/2024,O+,PRBC,13,9,38
39,1,Toril District Hospital,23/09/2024,O+,PRBC,14,9,39
40,1,Toril District Hospital,30/09/2024,O+,PRBC,14,9,40
41,1,Toril District Hospital,07/10/2024,O+,PRBC,15,10,41
42,1,Toril District Hospital,14/10/2024,O+,PRBC,18,10,42
43,1,Toril District Hospital,21/10/2024,O+,PRBC,17,10,43
44,1,Toril District Hospital,28/10/2024,O+,PRBC,14,10,44
45,1,Toril District Hospital,04/11/2024,O+,PRBC,16,11,45
46,1,Toril District Hospital,11/11/2024,O+,PRBC,17,11,46
47,1,Toril District Hospital,18/11/2024,O+,PRBC,15,11,47
48,1,Toril District Hospital,25/11/2024,O+,PRBC,14,11,48
49,1,Toril District Hospital,02/12/2024,O+,PRBC,17,12,49
50,1,Toril District Hospital,09/12/2024,O+,PRBC,15,12,50
51,1,Toril District Hospital,16/12/2024,O+,PRBC,15,12,51
52,1,Toril District Hospital,23/12/2024,O+,PRBC,14,12,52
53,1,Toril District Hospital,30/12/2024,O+,PRBC,17,12,53
54,1,Toril District Hospital,06/01/2025,O+,PRBC,15,1,54
55,1,Toril District Hospital,13/01/2025,O+,PRBC,14,1,55
56,1,Toril District Hospital,20/01/2025,O+,PRBC,15,1,56
57,1,Toril District Hospital,27/01/2025,O+,PRBC,16,1,57
58,1,Toril District Hospital,03/02/2025,O+,PRBC,19,2,58
59,1,Toril District Hospital,10/02/2025,O+,PRBC,17,2,59
60,1,Toril District Hospital,17/02/2025,O+,PRBC,10,2,60
61,1,Toril District Hospital,24/02/2025,O+,PRBC,15,2,61
62,1,Toril District Hospital,03/03/2025,O+,PRBC,18,3,62
63,1,Toril District Hospital,10/03/2025,O+,PRBC,12,3,63
64,1,Toril District Hospital,17/03/2025,O+,PRBC,16,3,64
65,1,Toril District Hospital,24/03/2025,O+,PRBC,14,3,65
66,1,Toril District Hospital,31/03/2025,O+,PRBC,17,3,66
67,1,Toril District Hospital,07/04/2025,O+,PRBC,16,4,67
